timestamp,direction,is_win
2023-10-02 12:00:00,LONG,1.0
2024-02-09 00:00:00,LONG,0.0
2024-02-27 00:00:00,LONG,1.0
2024-03-17 00:00:00,LONG,1.0
2024-08-03 00:00:00,LONG,1.0
2024-10-01 12:00:00,LONG,1.0
2024-10-24 12:00:00,LONG,0.0
2025-10-09 00:00:00,LONG,1.0
2020-03-08 12:00:00,SHORT,1.0
2021-07-21 12:00:00,LONG,1.0
2021-09-07 12:00:00,SHORT,1.0
2021-09-20 00:00:00,SHORT,0.0
2022-12-08 12:00:00,LONG,0.0
2023-01-02 00:00:00,LONG,1.0
2023-03-13 00:00:00,LONG,1.0
