2026-04-07 18:56:12 | symbol_done | idx=31 | total=61 | symbol=AEVOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.458 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=13 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-01 01:00:00 | nearest_setup_delta_min=7020.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=32 | total=61 | symbol=AGLDUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.371 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=20 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 15:00:00 | nearest_setup_delta_min=1860.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=33 | total=61 | symbol=AGTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.291 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=19 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-03 02:00:00 | nearest_setup_delta_min=4080.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=34 | total=61 | symbol=AIAUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.214 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=35 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-03 23:00:00 | nearest_setup_delta_min=2820.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=35 | total=61 | symbol=AINUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.145 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=18 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-02-27 15:00:00 | nearest_setup_delta_min=9060.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=36 | total=61 | symbol=AIOTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=2.062 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=22 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 12:00:00 | nearest_setup_delta_min=600.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=37 | total=61 | symbol=AIOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.960 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=27 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 18:00:00 | nearest_setup_delta_min=240.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=38 | total=61 | symbol=AIUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.840 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=18 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 00:00:00 | nearest_setup_delta_min=1320.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=39 | total=61 | symbol=AIXBTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.749 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=31 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 04:00:00 | nearest_setup_delta_min=2520.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=40 | total=61 | symbol=AKEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.630 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=25 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 20:00:00 | nearest_setup_delta_min=120.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
