symbol,signals,market_pnl_R,limit_pnl_R,limit_fills,missed_trades
PROMUSDT,2,-1.0,-1.0,2,0
HUSDT,7,3.8869510938907124,1.6384634589277578,5,2
BIDUSDT,7,-3.5089029928119615,1.6434098812749856,6,1
FORTHUSDT,3,-2.0,2.0018767556746635,3,0
BLURUSDT,7,-6.0,-6.0,6,1
ASTERUSDT,6,3.9278515030395926,3.9278515030395926,6,0
BICOUSDT,8,-1.3522641592077504,-5.0,7,1
RUNEUSDT,7,-3.0,-2.0,6,1
LSKUSDT,8,-2.394972897256866,0.6050271027431342,8,0
LYNUSDT,6,-2.380893441126483,-1.8312549443764095,5,1
DUSDT,6,2.3482937708945855,-0.6480365783316309,5,1
AWEUSDT,10,-1.0243156671499114,0.9756843328500886,8,2
ZORAUSDT,6,1.761952904739207,1.761952904739207,6,0
XPLUSDT,11,-1.2867194607525785,-0.6127186582173336,10,1
HANAUSDT,6,4.606874158478339,2.571121054237993,5,1
DMCUSDT,6,-0.7179146763227289,0.2820853236772711,6,0
SLPUSDT,6,1.726653907509014,-1.1748151152301807,5,1
STBLUSDT,5,6.985446424118594,6.985446424118594,4,0
HOMEUSDT,4,-4.0,-4.0,4,0
PAXGUSDT,11,-3.0,-3.0,11,0
SSVUSDT,8,-1.0360155315043311,-0.03601553150433112,7,1
CYBERUSDT,11,9.658215404022908,10.31490462718478,10,1
SFPUSDT,7,-6.0,-6.0,7,0
COTIUSDT,12,1.8172119552236397,-0.32639489473866723,11,1
RVNUSDT,4,-4.0,-4.0,4,0
HEIUSDT,1,0,0,1,0
ORDIUSDT,12,0.8622784645107524,0.7322137877471397,7,5
RVVUSDT,4,8.371865536256347,4.043267532799231,2,2
RIFUSDT,2,2.8893096459358447,-1.0,1,1
1000WHYUSDT,7,1.520290736039079,0.9863014165623645,3,4
YGGUSDT,7,-2.5264199420387707,-6.0,6,1
NXPCUSDT,3,5.978937642326894,5.978937642326894,3,0
RLSUSDT,2,0,0,2,0
SEIUSDT,9,2.3737129071218126,-1.2637234504675465,8,1
